example,problem_size,backend_service_provider,backend_name,num_shots,status,job_id,submitted_timestamp,circuit_depth,circuit_width,two_qubit_gate_count,timestamp,heavy_output_probability,execution_time
qv_4_0,4,Classiq,simulator,1000,COMPLETED,929bf257-989f-4749-bb81-3f750a937c00,2026-05-04T09:14:06.820275,25,4,24,2026-05-04T09:14:25.728969,0.8319999999999999,0.01340575
qv_4_1,4,Classiq,simulator,1000,COMPLETED,b65f4e01-b435-4cdb-bc6d-60c24a48507a,2026-05-04T09:14:12.386743,,,,2026-05-04T09:14:25.723000,0.7810000000000001,0.012965433333333333
qv_4_2,4,Classiq,simulator,1000,COMPLETED,c462d68d-2b4f-45c7-bc76-c8e61b07776a,2026-05-04T09:14:18.033539,,,,2026-05-04T09:14:25.715195,0.851,0.013334916666666667
qv_4_3,4,Classiq,simulator,1000,COMPLETED,2e8c0fb2-a799-4deb-9529-9ff9462cd336,2026-05-04T09:15:07.097812,,,,2026-05-04T09:15:25.992223,0.8039999999999999,0.012972183333333333
qv_4_4,4,Classiq,simulator,1000,COMPLETED,0bddb96b-5454-4740-9c30-428779873604,2026-05-04T09:15:12.518072,,,,2026-05-04T09:15:25.442338,0.847,0.012530616666666666
qv_4_5,4,Classiq,simulator,1000,COMPLETED,df123271-23c5-4081-bc17-8a1c6fd7e9c5,2026-05-04T09:15:18.358582,,,,2026-05-04T09:15:25.431254,0.77,0.012736233333333334
qv_4_6,4,Classiq,simulator,1000,COMPLETED,1c4ce537-6514-41f9-a7fb-980a81b7aaf9,2026-05-04T09:16:16.594362,25,4,24,2026-05-04T09:16:24.437225,0.784,0.0122396
qv_4_7,4,Classiq,simulator,1000,COMPLETED,b3c4f8f7-22c4-4658-8027-a1c6aa4dfa37,2026-05-04T09:16:24.135084,,,,2026-05-04T09:16:44.167208,0.849,0.01334195
qv_4_8,4,Classiq,simulator,1000,COMPLETED,fea57e60-1b45-46ae-9d63-723625a06162,2026-05-04T09:16:30.430669,,,,2026-05-04T09:16:44.162112,0.9259999999999999,0.014403333333333332
qv_4_9,4,Classiq,simulator,1000,COMPLETED,be0fcfa0-f3b1-4469-b591-d492970bd591,2026-05-04T09:16:35.943732,,,,2026-05-04T09:16:44.152819,0.8,0.013006716666666666
qv_4_0,4,Classiq,simulator_statevector,1000,COMPLETED,f20e98fc-000f-4f23-a15b-8f9672a99329,2026-05-04T09:17:36.367476,,,,2026-05-04T09:17:55.420810,0.8210813094780488,0.012401500000000001
qv_4_1,4,Classiq,simulator_statevector,1000,COMPLETED,f09d57b7-0cf0-4fd8-ac3c-9981f14bdac0,2026-05-04T09:17:41.078987,,,,2026-05-04T09:17:53.286750,0.7817717483991478,0.012302616666666665
qv_4_2,4,Classiq,simulator_statevector,1000,COMPLETED,b4f5d27a-555c-451e-9cbe-33114268adb8,2026-05-04T09:17:46.460981,,,,2026-05-04T09:17:53.278677,0.8664450529237366,0.012172683333333333
qv_4_3,4,Classiq,simulator_statevector,1000,COMPLETED,6e556c8b-ba5a-43bc-8a3b-454ad2ca19f7,2026-05-04T09:18:47.639124,26,4,24,2026-05-04T09:19:05.668087,0.8186600108286446,0.0144715
qv_4_4,4,Classiq,simulator_statevector,1000,COMPLETED,825a157f-6028-43c9-93af-356146d93d72,2026-05-04T09:18:52.259187,,,,2026-05-04T09:19:03.839001,0.8562367911396355,0.012199083333333333
qv_4_5,4,Classiq,simulator_statevector,1000,COMPLETED,6edb55e1-11ef-4425-b3ae-98397bce1d31,2026-05-04T09:18:57.416536,,,,2026-05-04T09:19:03.828569,0.7587934503675416,0.0123499
qv_4_6,4,Classiq,simulator_statevector,1000,COMPLETED,84da9c70-4a79-46ac-a1a7-7beee621283e,2026-05-04T09:19:56.761521,26,4,24,2026-05-04T09:20:14.402255,0.7679244590062393,0.012853383333333333
qv_4_7,4,Classiq,simulator_statevector,1000,COMPLETED,c521bb5a-2254-4689-8628-0231b15a4475,2026-05-04T09:20:02.256014,26,4,24,2026-05-04T09:20:14.396652,0.828038621481282,0.012591
qv_4_8,4,Classiq,simulator_statevector,1000,COMPLETED,5e15c747-9c94-4c74-9669-2418b9b877e6,2026-05-04T09:20:07.382108,,,,2026-05-04T09:20:14.389791,0.9185578402844028,0.012223050000000001
qv_4_9,4,Classiq,simulator_statevector,1000,COMPLETED,d83408b4-9c32-41c2-823c-af6949c86528,2026-05-04T09:21:00.863929,26,4,24,2026-05-04T09:21:07.495835,0.7944228617185735,0.012345533333333332
